,variable,value
0,MonthlyCharges,29.85
1,MonthlyCharges,56.95
2,MonthlyCharges,53.85
3,MonthlyCharges,42.3
4,MonthlyCharges,70.7
5,MonthlyCharges,99.65
6,MonthlyCharges,89.1
7,MonthlyCharges,29.75
8,MonthlyCharges,104.8
9,MonthlyCharges,56.15
10,MonthlyCharges,49.95
11,MonthlyCharges,18.95
12,MonthlyCharges,100.35
13,MonthlyCharges,103.7
14,MonthlyCharges,105.5
15,MonthlyCharges,113.25
16,MonthlyCharges,20.65
17,MonthlyCharges,106.7
18,MonthlyCharges,55.2
19,MonthlyCharges,90.05
20,MonthlyCharges,39.65
21,MonthlyCharges,19.8
22,MonthlyCharges,20.15
23,MonthlyCharges,59.9
24,MonthlyCharges,59.6
25,MonthlyCharges,55.3
26,MonthlyCharges,99.35
27,MonthlyCharges,30.2
28,MonthlyCharges,90.25
29,MonthlyCharges,64.7
30,MonthlyCharges,96.35
31,MonthlyCharges,95.5
32,MonthlyCharges,66.15
33,MonthlyCharges,20.2
34,MonthlyCharges,45.25
35,MonthlyCharges,99.9
36,MonthlyCharges,69.7
37,MonthlyCharges,74.8
38,MonthlyCharges,106.35
39,MonthlyCharges,97.85
40,MonthlyCharges,49.55
41,MonthlyCharges,69.2
42,MonthlyCharges,20.75
43,MonthlyCharges,79.85
44,MonthlyCharges,76.2
45,MonthlyCharges,84.5
46,MonthlyCharges,49.25
47,MonthlyCharges,80.65
48,MonthlyCharges,79.75
49,MonthlyCharges,64.15
50,MonthlyCharges,90.25
51,MonthlyCharges,99.1
52,MonthlyCharges,69.5
53,MonthlyCharges,80.65
54,MonthlyCharges,74.85
55,MonthlyCharges,95.45
56,MonthlyCharges,99.65
57,MonthlyCharges,108.45
58,MonthlyCharges,24.95
59,MonthlyCharges,107.5
60,MonthlyCharges,100.5
61,MonthlyCharges,89.9
62,MonthlyCharges,42.1
63,MonthlyCharges,54.4
64,MonthlyCharges,94.4
65,MonthlyCharges,75.3
66,MonthlyCharges,78.9
67,MonthlyCharges,79.2
68,MonthlyCharges,20.15
69,MonthlyCharges,79.85
70,MonthlyCharges,49.05
71,MonthlyCharges,20.4
72,MonthlyCharges,111.6
73,MonthlyCharges,24.25
74,MonthlyCharges,64.5
75,MonthlyCharges,110.5
76,MonthlyCharges,55.65
77,MonthlyCharges,54.65
78,MonthlyCharges,74.75
79,MonthlyCharges,25.9
80,MonthlyCharges,79.35
81,MonthlyCharges,50.55
82,MonthlyCharges,75.15
83,MonthlyCharges,103.8
84,MonthlyCharges,20.15
85,MonthlyCharges,99.3
86,MonthlyCharges,62.15
87,MonthlyCharges,20.65
88,MonthlyCharges,19.95
89,MonthlyCharges,33.75
90,MonthlyCharges,82.05
91,MonthlyCharges,74.7
92,MonthlyCharges,84.0
93,MonthlyCharges,111.05
94,MonthlyCharges,100.9
95,MonthlyCharges,78.95
96,MonthlyCharges,66.85
97,MonthlyCharges,21.05
98,MonthlyCharges,21.0
99,MonthlyCharges,98.5
100,MonthlyCharges,20.2
101,MonthlyCharges,19.45
102,MonthlyCharges,95.0
103,MonthlyCharges,45.55
104,MonthlyCharges,110.0
105,MonthlyCharges,24.3
106,MonthlyCharges,104.15
107,MonthlyCharges,30.15
108,MonthlyCharges,94.35
109,MonthlyCharges,19.4
110,MonthlyCharges,96.75
111,MonthlyCharges,57.95
112,MonthlyCharges,91.65
113,MonthlyCharges,76.5
114,MonthlyCharges,54.6
115,MonthlyCharges,89.85
116,MonthlyCharges,31.05
117,MonthlyCharges,100.25
118,MonthlyCharges,20.65
119,MonthlyCharges,85.2
120,MonthlyCharges,99.8
121,MonthlyCharges,20.7
122,MonthlyCharges,74.4
123,MonthlyCharges,50.7
124,MonthlyCharges,20.85
125,MonthlyCharges,88.95
126,MonthlyCharges,78.05
127,MonthlyCharges,23.55
128,MonthlyCharges,19.75
129,MonthlyCharges,56.45
130,MonthlyCharges,85.95
131,MonthlyCharges,58.6
132,MonthlyCharges,50.55
133,MonthlyCharges,35.45
134,MonthlyCharges,44.35
135,MonthlyCharges,25.7
136,MonthlyCharges,75.0
137,MonthlyCharges,20.2
138,MonthlyCharges,19.6
139,MonthlyCharges,70.45
140,MonthlyCharges,88.05
141,MonthlyCharges,71.15
142,MonthlyCharges,101.05
143,MonthlyCharges,84.3
144,MonthlyCharges,23.95
145,MonthlyCharges,99.05
146,MonthlyCharges,19.6
147,MonthlyCharges,45.65
148,MonthlyCharges,64.5
149,MonthlyCharges,69.5
150,MonthlyCharges,68.55
151,MonthlyCharges,95.0
152,MonthlyCharges,108.15
153,MonthlyCharges,86.1
154,MonthlyCharges,19.7
155,MonthlyCharges,80.9
156,MonthlyCharges,84.15
157,MonthlyCharges,20.15
158,MonthlyCharges,64.25
159,MonthlyCharges,25.7
160,MonthlyCharges,56.0
161,MonthlyCharges,82.4
162,MonthlyCharges,69.7
163,MonthlyCharges,73.9
164,MonthlyCharges,20.6
165,MonthlyCharges,19.9
166,MonthlyCharges,70.9
167,MonthlyCharges,89.05
168,MonthlyCharges,45.3
169,MonthlyCharges,20.4
170,MonthlyCharges,84.25
171,MonthlyCharges,104.4
172,MonthlyCharges,81.95
173,MonthlyCharges,94.85
174,MonthlyCharges,20.55
175,MonthlyCharges,24.7
